sample_id,image_path,ground_truth,stay_positive_score,stay_positive_postcal_prediction,official_fsd_prediction,fsd_finetune_v1_prediction,fsd_finetune_v2_prediction,conflict_count,conflict_type,priority_score
adm_auto_2573,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/486_adm_85.PNG,fake,0.5196907710063594,fake,real,real,real,3,strong_conflict,30.130873
adm_auto_1102,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/265_adm_7.PNG,fake,0.51770514183826,fake,real,real,real,3,strong_conflict,30.128887
adm_auto_2052,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/407_adm_91.PNG,fake,0.5164208799257116,fake,real,real,real,3,strong_conflict,30.127603
adm_auto_2606,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/491_adm_174.PNG,fake,0.5150262156617532,fake,real,real,real,3,strong_conflict,30.126208
adm_auto_2408,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/461_adm_174.PNG,fake,0.5135849057322546,fake,real,real,real,3,strong_conflict,30.124767
adm_auto_2382,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/457_adm_91.PNG,fake,0.5124717704709593,fake,real,real,real,3,strong_conflict,30.123654
adm_auto_2235,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/435_adm_34.PNG,fake,0.5074504909926786,fake,real,real,real,3,strong_conflict,30.118632
adm_auto_2888,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/533_adm_174.PNG,fake,0.5068698524052877,fake,real,real,real,3,strong_conflict,30.118052
adm_auto_2830,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/524_adm_7.PNG,fake,0.5007760369518587,fake,real,real,real,3,strong_conflict,30.111958
adm_auto_1463,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/319_adm_85.PNG,fake,0.49956436466023213,fake,real,real,real,3,strong_conflict,30.110746
adm_auto_2472,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/470_adm_91.PNG,fake,0.4995602817383607,fake,real,real,real,3,strong_conflict,30.110742
adm_auto_2506,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/476_adm_7.PNG,fake,0.4989033806083598,fake,real,real,real,3,strong_conflict,30.110085
adm_auto_1377,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/306_adm_34.PNG,fake,0.4934990791094793,fake,real,real,real,3,strong_conflict,30.104681
adm_auto_1046,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/257_adm_174.PNG,fake,0.49319030733484326,fake,real,real,real,3,strong_conflict,30.104372
adm_auto_2787,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/518_adm_34.PNG,fake,0.4913883829176971,fake,real,real,real,3,strong_conflict,30.102570
adm_auto_2175,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/426_adm_34.PNG,fake,0.4907779871846648,fake,real,real,real,3,strong_conflict,30.101960
adm_auto_1266,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/28_adm_91.PNG,fake,0.49061338620408834,fake,real,real,real,3,strong_conflict,30.101795
adm_auto_2947,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/542_adm_153.PNG,fake,0.4902309543535559,fake,real,real,real,3,strong_conflict,30.101413
adm_auto_1360,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/303_adm_7.PNG,fake,0.4898646500517538,fake,real,real,real,3,strong_conflict,30.101047
adm_auto_2852,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/528_adm_174.PNG,fake,0.4887587151035236,fake,real,real,real,3,strong_conflict,30.099941
adm_auto_1499,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/324_adm_85.PNG,fake,0.4873068640561713,fake,real,real,real,3,strong_conflict,30.098489
adm_auto_1779,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/367_adm_34.PNG,fake,0.48678452696130137,fake,real,real,real,3,strong_conflict,30.097967
adm_auto_2878,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/531_adm_7.PNG,fake,0.48615778123216663,fake,real,real,real,3,strong_conflict,30.097340
adm_auto_2844,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/526_adm_91.PNG,fake,0.4860696939776974,fake,real,real,real,3,strong_conflict,30.097252
adm_auto_1723,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/359_adm_153.PNG,fake,0.48592889895964636,fake,real,real,real,3,strong_conflict,30.097111
adm_auto_0484,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/172_adm_7.PNG,fake,0.4855412779905682,fake,real,real,real,3,strong_conflict,30.096723
adm_auto_2622,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/493_adm_91.PNG,fake,0.48552153578577245,fake,real,real,real,3,strong_conflict,30.096704
adm_auto_2648,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/498_adm_174.PNG,fake,0.4833183386523178,fake,real,real,real,3,strong_conflict,30.094500
adm_auto_2993,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/549_adm_85.PNG,fake,0.48248279571199937,fake,real,real,real,3,strong_conflict,30.093665
adm_auto_2309,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/446_adm_85.PNG,fake,0.4820914464864132,fake,real,real,real,3,strong_conflict,30.093273
adm_auto_2796,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/519_adm_91.PNG,fake,0.48149892807740946,fake,real,real,real,3,strong_conflict,30.092681
adm_auto_0800,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/21_adm_174.PNG,fake,0.48143578993821995,fake,real,real,real,3,strong_conflict,30.092618
adm_auto_2094,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/413_adm_91.PNG,fake,0.4788101196749202,fake,real,real,real,3,strong_conflict,30.089992
adm_auto_0390,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/158_adm_91.PNG,fake,0.47789342408405644,fake,real,real,real,3,strong_conflict,30.089075
adm_auto_1939,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/391_adm_153.PNG,fake,0.4775531633604964,fake,real,real,real,3,strong_conflict,30.088735
adm_auto_1146,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/271_adm_91.PNG,fake,0.4773314680224062,fake,real,real,real,3,strong_conflict,30.088513
adm_auto_1393,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/309_adm_153.PNG,fake,0.47403949583738186,fake,real,real,real,3,strong_conflict,30.085221
adm_auto_0281,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/141_adm_85.PNG,fake,0.47316295632088906,fake,real,real,real,3,strong_conflict,30.084345
adm_auto_1083,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/262_adm_34.PNG,fake,0.4725502289794612,fake,real,real,real,3,strong_conflict,30.083732
adm_auto_2713,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/507_adm_153.PNG,fake,0.47242622555181985,fake,real,real,real,3,strong_conflict,30.083608
adm_auto_2630,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/495_adm_174.PNG,fake,0.47163306809031325,fake,real,real,real,3,strong_conflict,30.082815
adm_auto_2561,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/484_adm_85.PNG,fake,0.47119904971344745,fake,real,real,real,3,strong_conflict,30.082381
adm_auto_0092,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/113_adm_174.PNG,fake,0.4710867276015805,fake,real,real,real,3,strong_conflict,30.082269
adm_auto_1656,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/348_adm_91.PNG,fake,0.47027070224166767,fake,real,real,real,3,strong_conflict,30.081453
adm_auto_2786,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/518_adm_174.PNG,fake,0.469893561394908,fake,real,real,real,3,strong_conflict,30.081076
adm_auto_1508,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/326_adm_174.PNG,fake,0.46954443662776385,fake,real,real,real,3,strong_conflict,30.080726
adm_auto_0486,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/172_adm_91.PNG,fake,0.4687696387722869,fake,real,real,real,3,strong_conflict,30.079952
adm_auto_2934,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/53_adm_91.PNG,fake,0.46841147029679503,fake,real,real,real,3,strong_conflict,30.079593
adm_auto_2215,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/432_adm_153.PNG,fake,0.468350953275568,fake,real,real,real,3,strong_conflict,30.079533
adm_auto_1367,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/304_adm_85.PNG,fake,0.46816806576616443,fake,real,real,real,3,strong_conflict,30.079350
adm_auto_0886,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/232_adm_7.PNG,fake,0.46718464333015064,fake,real,real,real,3,strong_conflict,30.078367
adm_auto_0543,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/181_adm_34.PNG,fake,0.4671266372117878,fake,real,real,real,3,strong_conflict,30.078309
adm_auto_2376,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/456_adm_91.PNG,fake,0.4671151993853012,fake,real,real,real,3,strong_conflict,30.078297
adm_auto_0703,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/205_adm_153.PNG,fake,0.46583260767909695,fake,real,real,real,3,strong_conflict,30.077015
adm_auto_0759,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/213_adm_34.PNG,fake,0.46575955614082437,fake,real,real,real,3,strong_conflict,30.076942
adm_auto_2848,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/527_adm_7.PNG,fake,0.46561048908101765,fake,real,real,real,3,strong_conflict,30.076792
adm_auto_0343,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/151_adm_153.PNG,fake,0.4644882424981675,fake,real,real,real,3,strong_conflict,30.075670
adm_auto_1731,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/35_adm_34.PNG,fake,0.463680104127985,fake,real,real,real,3,strong_conflict,30.074862
adm_auto_1477,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/321_adm_153.PNG,fake,0.4631904120835871,fake,real,real,real,3,strong_conflict,30.074372
adm_auto_2557,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/484_adm_153.PNG,fake,0.4628336725756309,fake,real,real,real,3,strong_conflict,30.074016
adm_auto_1761,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/364_adm_34.PNG,fake,0.4626124416164177,fake,real,real,real,3,strong_conflict,30.073794
adm_auto_1431,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/314_adm_34.PNG,fake,0.46223158757904464,fake,real,real,real,3,strong_conflict,30.073414
adm_auto_1751,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/362_adm_85.PNG,fake,0.46219683718071036,fake,real,real,real,3,strong_conflict,30.073379
adm_auto_2272,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/440_adm_7.PNG,fake,0.46189478025405645,fake,real,real,real,3,strong_conflict,30.073077
adm_auto_0661,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/19_adm_153.PNG,fake,0.46170797445657946,fake,real,real,real,3,strong_conflict,30.072890
adm_auto_2899,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/535_adm_153.PNG,fake,0.46067301546197276,fake,real,real,real,3,strong_conflict,30.071855
adm_auto_1444,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/316_adm_7.PNG,fake,0.4603714000324046,fake,real,real,real,3,strong_conflict,30.071553
adm_auto_2138,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/420_adm_174.PNG,fake,0.46028074939268576,fake,real,real,real,3,strong_conflict,30.071463
adm_auto_1983,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/398_adm_34.PNG,fake,0.4594190197186439,fake,real,real,real,3,strong_conflict,30.070601
adm_auto_2103,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/415_adm_34.PNG,fake,0.45880673174850695,fake,real,real,real,3,strong_conflict,30.069989
adm_auto_2995,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/54_adm_153.PNG,fake,0.4584156226927143,fake,real,real,real,3,strong_conflict,30.069598
adm_auto_1446,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/316_adm_91.PNG,fake,0.45832315817160135,fake,real,real,real,3,strong_conflict,30.069505
adm_auto_0038,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/105_adm_174.PNG,fake,0.45810238604644354,fake,real,real,real,3,strong_conflict,30.069284
adm_auto_2392,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/459_adm_7.PNG,fake,0.4576082767027383,fake,real,real,real,3,strong_conflict,30.068790
adm_auto_2846,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/527_adm_174.PNG,fake,0.4573151687006968,fake,real,real,real,3,strong_conflict,30.068497
adm_auto_2823,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/523_adm_34.PNG,fake,0.4572707402138261,fake,real,real,real,3,strong_conflict,30.068453
adm_auto_1197,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/27_adm_34.PNG,fake,0.4569852918894284,fake,real,real,real,3,strong_conflict,30.068167
adm_auto_2458,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/469_adm_7.PNG,fake,0.45697196627944886,fake,real,real,real,3,strong_conflict,30.068154
adm_auto_0091,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/113_adm_153.PNG,fake,0.45695172983309146,fake,real,real,real,3,strong_conflict,30.068134
adm_auto_1070,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/260_adm_174.PNG,fake,0.4560493669892862,fake,real,real,real,3,strong_conflict,30.067231
adm_auto_1715,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/357_adm_85.PNG,fake,0.45599901948790644,fake,real,real,real,3,strong_conflict,30.067181
adm_auto_0394,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/159_adm_7.PNG,fake,0.45589558865755186,fake,real,real,real,3,strong_conflict,30.067078
adm_auto_0882,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/231_adm_91.PNG,fake,0.45576281302149135,fake,real,real,real,3,strong_conflict,30.066945
adm_auto_0807,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/220_adm_34.PNG,fake,0.4557125673869698,fake,real,real,real,3,strong_conflict,30.066895
adm_auto_0099,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/114_adm_34.PNG,fake,0.4556113049709269,fake,real,real,real,3,strong_conflict,30.066793
adm_auto_2361,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/454_adm_34.PNG,fake,0.45511667116249904,fake,real,real,real,3,strong_conflict,30.066299
adm_auto_2516,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/478_adm_174.PNG,fake,0.4549506920291259,fake,real,real,real,3,strong_conflict,30.066133
adm_auto_0095,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/113_adm_85.PNG,fake,0.45493550635393987,fake,real,real,real,3,strong_conflict,30.066118
adm_auto_0051,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/107_adm_34.PNG,fake,0.45434578255853,fake,real,real,real,3,strong_conflict,30.065528
adm_auto_1544,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/331_adm_174.PNG,fake,0.4538752224747601,fake,real,real,real,3,strong_conflict,30.065057
adm_auto_0883,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/232_adm_153.PNG,fake,0.45361934350122063,fake,real,real,real,3,strong_conflict,30.064801
adm_auto_0888,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/232_adm_91.PNG,fake,0.45312449733292953,fake,real,real,real,3,strong_conflict,30.064306
adm_auto_0138,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/11_adm_91.PNG,fake,0.45311733336695004,fake,real,real,real,3,strong_conflict,30.064299
adm_auto_2777,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/516_adm_85.PNG,fake,0.4531004358015353,fake,real,real,real,3,strong_conflict,30.064282
adm_auto_2721,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/508_adm_34.PNG,fake,0.45297826062672397,fake,real,real,real,3,strong_conflict,30.064160
adm_auto_0652,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/198_adm_7.PNG,fake,0.4529585738677253,fake,real,real,real,3,strong_conflict,30.064141
adm_auto_1511,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/326_adm_85.PNG,fake,0.45280103554396844,fake,real,real,real,3,strong_conflict,30.063983
adm_auto_2217,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/432_adm_34.PNG,fake,0.45267497452693994,fake,real,real,real,3,strong_conflict,30.063857
adm_auto_1012,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/251_adm_7.PNG,fake,0.45244181767056846,fake,real,real,real,3,strong_conflict,30.063624
adm_auto_1479,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/321_adm_34.PNG,fake,0.4520790353350823,fake,real,real,real,3,strong_conflict,30.063261
adm_auto_1619,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/342_adm_85.PNG,fake,0.4520772617780499,fake,real,real,real,3,strong_conflict,30.063259
adm_auto_2498,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/475_adm_174.PNG,fake,0.4518983245593572,fake,real,real,real,3,strong_conflict,30.063080
adm_auto_2684,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/502_adm_174.PNG,fake,0.45188771122632965,fake,real,real,real,3,strong_conflict,30.063070
adm_auto_1101,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/265_adm_34.PNG,fake,0.4515731851334297,fake,real,real,real,3,strong_conflict,30.062755
adm_auto_1111,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/267_adm_153.PNG,fake,0.45139394380102543,fake,real,real,real,3,strong_conflict,30.062576
adm_auto_0023,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/102_adm_85.PNG,fake,0.45137249848802563,fake,real,real,real,3,strong_conflict,30.062554
adm_auto_2159,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/423_adm_85.PNG,fake,0.45119132995496936,fake,real,real,real,3,strong_conflict,30.062373
adm_auto_1455,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/318_adm_34.PNG,fake,0.45113557696349377,fake,real,real,real,3,strong_conflict,30.062318
adm_auto_2034,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/404_adm_91.PNG,fake,0.4504843318320895,fake,real,real,real,3,strong_conflict,30.061666
adm_auto_0764,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/214_adm_174.PNG,fake,0.4504808141746625,fake,real,real,real,3,strong_conflict,30.061663
adm_auto_0814,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/221_adm_7.PNG,fake,0.450426515143729,fake,real,real,real,3,strong_conflict,30.061609
adm_auto_2850,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/527_adm_91.PNG,fake,0.45029456612020574,fake,real,real,real,3,strong_conflict,30.061477
adm_auto_2048,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/407_adm_174.PNG,fake,0.45016233201946165,fake,real,real,real,3,strong_conflict,30.061344
adm_auto_2171,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/425_adm_85.PNG,fake,0.45005522664280445,fake,real,real,real,3,strong_conflict,30.061237
