sample_id,image_path,ground_truth,stay_positive_prediction,stay_positive_score,official_fsd_prediction,official_fsd_score,fsd_finetune_v1_prediction,fsd_finetune_v1_score,fsd_finetune_v2_prediction,fsd_finetune_v2_score,stay_positive_postcal_prediction,official_match,v1_match,v2_match,match_count,conflict_count,all_fsd_real,all_fsd_fake,conflict_pattern,prompt_type,file_index,score_bin_left,score_bin
adm_auto_0022,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/102_adm_7.PNG,fake,real,0.4206218723431782,real,0.3408203125,real,0.338134765625,real,0.2333984375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,102,0.42,0.42-0.44
adm_auto_0023,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/102_adm_85.PNG,fake,real,0.4513724984880256,real,0.12359619140625,real,0.2225341796875,real,0.1627197265625,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_85,102,0.44,0.44-0.46
adm_auto_0024,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/102_adm_91.PNG,fake,real,0.4065193767766135,fake,0.57080078125,fake,0.51953125,fake,0.689453125,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_91,102,0.4,0.40-0.42
adm_auto_0025,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/103_adm_153.PNG,fake,real,0.3878944828676501,real,0.1319580078125,real,0.1746826171875,real,0.1461181640625,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_153,103,0.38,0.38-0.40
adm_auto_0026,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/103_adm_174.PNG,fake,real,0.4114841881315394,real,0.235107421875,real,0.2744140625,real,0.4677734375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_174,103,0.4,0.40-0.42
adm_auto_0027,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/103_adm_34.PNG,fake,real,0.3975282106136421,fake,0.56005859375,real,0.47265625,fake,0.56103515625,fake,True,False,True,2,1,False,False,SP=fake;FSD=fake/real/fake,adm_34,103,0.38,0.38-0.40
adm_auto_0028,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/103_adm_7.PNG,fake,real,0.390902305984086,real,0.49462890625,real,0.490234375,real,0.4677734375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,103,0.38,0.38-0.40
adm_auto_0029,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/103_adm_85.PNG,fake,real,0.411683535880922,fake,0.62890625,fake,0.56201171875,fake,0.77783203125,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_85,103,0.4,0.40-0.42
adm_auto_0030,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/103_adm_91.PNG,fake,real,0.4166188065615018,fake,0.9462890625,fake,0.896484375,fake,0.978515625,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_91,103,0.4,0.40-0.42
adm_auto_0031,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/104_adm_153.PNG,fake,real,0.3790904472198433,real,0.190673828125,real,0.177001953125,real,0.2017822265625,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_153,104,0.36,0.36-0.38
adm_auto_0032,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/104_adm_174.PNG,fake,real,0.3974133283372832,fake,0.51025390625,real,0.37255859375,real,0.234619140625,fake,True,False,False,1,2,False,False,SP=fake;FSD=fake/real/real,adm_174,104,0.38,0.38-0.40
adm_auto_0033,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/104_adm_34.PNG,fake,real,0.3898952810270035,real,0.2978515625,real,0.2998046875,real,0.3173828125,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_34,104,0.38,0.38-0.40
adm_auto_0034,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/104_adm_7.PNG,fake,real,0.4044231164901007,real,0.4736328125,real,0.419921875,real,0.326416015625,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,104,0.4,0.40-0.42
adm_auto_0035,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/104_adm_85.PNG,fake,real,0.3852510673797354,real,0.290283203125,real,0.29541015625,real,0.29296875,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_85,104,0.38,0.38-0.40
adm_auto_0036,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/104_adm_91.PNG,fake,real,0.4348417766958302,fake,0.7685546875,fake,0.70849609375,fake,0.5576171875,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_91,104,0.42,0.42-0.44
adm_auto_0037,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/105_adm_153.PNG,fake,real,0.4374781047377724,real,0.39990234375,real,0.357666015625,fake,0.525390625,fake,False,False,True,1,2,False,False,SP=fake;FSD=real/real/fake,adm_153,105,0.42,0.42-0.44
adm_auto_0038,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/105_adm_174.PNG,fake,real,0.4581023860464435,real,0.2322998046875,real,0.2607421875,real,0.2088623046875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_174,105,0.44,0.44-0.46
adm_auto_0039,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/105_adm_34.PNG,fake,real,0.4506687100460486,real,0.439697265625,real,0.362060546875,fake,0.5166015625,fake,False,False,True,1,2,False,False,SP=fake;FSD=real/real/fake,adm_34,105,0.44,0.44-0.46
adm_auto_0040,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/105_adm_7.PNG,fake,real,0.4406459197518987,real,0.2418212890625,real,0.33447265625,real,0.32421875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,105,0.44,0.44-0.46
adm_auto_0041,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/105_adm_85.PNG,fake,real,0.4012397112314144,real,0.490234375,real,0.391357421875,real,0.36669921875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_85,105,0.4,0.40-0.42
adm_auto_0042,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/105_adm_91.PNG,fake,real,0.4389462878676705,fake,0.56787109375,real,0.443603515625,real,0.47607421875,fake,True,False,False,1,2,False,False,SP=fake;FSD=fake/real/real,adm_91,105,0.42,0.42-0.44
adm_auto_0043,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/106_adm_153.PNG,fake,real,0.4165381826197237,real,0.228515625,real,0.27978515625,real,0.351806640625,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_153,106,0.4,0.40-0.42
adm_auto_0044,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/106_adm_174.PNG,fake,real,0.4070051054417279,real,0.30322265625,real,0.355712890625,real,0.47265625,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_174,106,0.4,0.40-0.42
adm_auto_0045,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/106_adm_34.PNG,fake,real,0.398636610971352,real,0.206298828125,real,0.21728515625,real,0.266357421875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_34,106,0.38,0.38-0.40
adm_auto_0046,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/106_adm_7.PNG,fake,real,0.4168173899485061,real,0.361572265625,real,0.29248046875,real,0.446044921875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,106,0.4,0.40-0.42
adm_auto_0047,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/106_adm_85.PNG,fake,real,0.3934868573204796,real,0.2265625,real,0.310791015625,real,0.2425537109375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_85,106,0.38,0.38-0.40
adm_auto_0048,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/106_adm_91.PNG,fake,real,0.3849921707136708,real,0.3857421875,real,0.414794921875,fake,0.525390625,real,True,True,False,2,1,False,False,SP=real;FSD=real/real/fake,adm_91,106,0.38,0.38-0.40
adm_auto_0049,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/107_adm_153.PNG,fake,real,0.3752280684464887,real,0.374267578125,real,0.3369140625,real,0.361083984375,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_153,107,0.36,0.36-0.38
adm_auto_0050,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/107_adm_174.PNG,fake,real,0.4162643162404014,real,0.17138671875,real,0.303955078125,real,0.10931396484375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_174,107,0.4,0.40-0.42
adm_auto_0051,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/107_adm_34.PNG,fake,real,0.45434578255853,real,0.1795654296875,real,0.315673828125,real,0.1781005859375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_34,107,0.44,0.44-0.46
adm_auto_0052,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/107_adm_7.PNG,fake,real,0.3666729149456671,fake,0.72802734375,fake,0.501953125,real,0.4130859375,real,False,False,True,1,2,False,False,SP=real;FSD=fake/fake/real,adm_7,107,0.36,0.36-0.38
adm_auto_0053,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/107_adm_85.PNG,fake,real,0.3880168127041393,fake,0.56591796875,fake,0.7265625,fake,0.6083984375,real,False,False,False,0,3,False,True,SP=real;FSD=fake/fake/fake,adm_85,107,0.38,0.38-0.40
adm_auto_0054,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/107_adm_91.PNG,fake,real,0.4051993594386811,fake,0.99365234375,fake,0.93310546875,fake,0.97509765625,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_91,107,0.4,0.40-0.42
adm_auto_0055,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/108_adm_153.PNG,fake,real,0.4145043534876376,fake,0.67333984375,fake,0.650390625,fake,0.64599609375,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_153,108,0.4,0.40-0.42
adm_auto_0056,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/108_adm_174.PNG,fake,real,0.4030227965546287,real,0.3408203125,real,0.460205078125,real,0.49609375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_174,108,0.4,0.40-0.42
adm_auto_0057,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/108_adm_34.PNG,fake,real,0.3941713206458625,real,0.445068359375,real,0.394287109375,fake,0.5654296875,fake,False,False,True,1,2,False,False,SP=fake;FSD=real/real/fake,adm_34,108,0.38,0.38-0.40
adm_auto_0058,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/108_adm_7.PNG,fake,real,0.4292966195489393,real,0.420654296875,real,0.368896484375,real,0.2646484375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,108,0.42,0.42-0.44
adm_auto_0059,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/108_adm_85.PNG,fake,real,0.39934733908273,real,0.294921875,real,0.371337890625,real,0.444091796875,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_85,108,0.38,0.38-0.40
adm_auto_0060,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/108_adm_91.PNG,fake,real,0.4269988313259787,fake,0.767578125,fake,0.5830078125,fake,0.83544921875,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_91,108,0.42,0.42-0.44
adm_auto_0061,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/109_adm_153.PNG,fake,real,0.3823482133428785,fake,0.51123046875,real,0.370849609375,real,0.377197265625,real,False,True,True,2,1,False,False,SP=real;FSD=fake/real/real,adm_153,109,0.38,0.38-0.40
adm_auto_0062,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/109_adm_174.PNG,fake,real,0.4033159654017855,real,0.23095703125,real,0.373046875,real,0.347412109375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_174,109,0.4,0.40-0.42
adm_auto_0063,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/109_adm_34.PNG,fake,real,0.4479195148888241,fake,0.88037109375,fake,0.82080078125,fake,0.61767578125,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_34,109,0.44,0.44-0.46
adm_auto_0064,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/109_adm_7.PNG,fake,real,0.3874605835470166,real,0.1661376953125,real,0.1591796875,real,0.275146484375,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_7,109,0.38,0.38-0.40
adm_auto_0065,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/109_adm_85.PNG,fake,real,0.4025107133088761,real,0.38818359375,fake,0.50244140625,real,0.394775390625,fake,False,True,False,1,2,False,False,SP=fake;FSD=real/fake/real,adm_85,109,0.4,0.40-0.42
adm_auto_0066,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/109_adm_91.PNG,fake,real,0.3778253756926881,real,0.29150390625,real,0.316650390625,real,0.2203369140625,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_91,109,0.36,0.36-0.38
adm_auto_0067,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/10_adm_153.PNG,fake,real,0.3728648514260906,fake,0.68603515625,fake,0.666015625,fake,0.7294921875,real,False,False,False,0,3,False,True,SP=real;FSD=fake/fake/fake,adm_153,10,0.36,0.36-0.38
adm_auto_0068,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/10_adm_174.PNG,fake,real,0.4355424169979383,fake,0.67578125,fake,0.6376953125,fake,0.63916015625,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_174,10,0.42,0.42-0.44
adm_auto_0069,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/10_adm_34.PNG,fake,fake,0.5300395813423767,fake,0.72314453125,fake,0.5703125,fake,0.5517578125,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_34,10,0.52,0.52-0.54
adm_auto_0070,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/10_adm_7.PNG,fake,real,0.3933173225198922,real,0.3466796875,real,0.387939453125,real,0.2021484375,fake,False,False,False,0,3,True,False,SP=fake;FSD=real/real/real,adm_7,10,0.38,0.38-0.40
adm_auto_0071,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/10_adm_85.PNG,fake,real,0.3708948531699207,real,0.418212890625,real,0.398193359375,real,0.35400390625,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_85,10,0.36,0.36-0.38
adm_auto_0072,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/10_adm_91.PNG,fake,real,0.4158298575216353,fake,0.62451171875,fake,0.62255859375,fake,0.68310546875,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_91,10,0.4,0.40-0.42
adm_auto_0073,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/110_adm_153.PNG,fake,real,0.3767291761284923,real,0.3466796875,real,0.363037109375,real,0.418212890625,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_153,110,0.36,0.36-0.38
adm_auto_0074,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/110_adm_174.PNG,fake,real,0.3641544400685664,real,0.2998046875,real,0.2919921875,real,0.435791015625,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_174,110,0.36,0.36-0.38
adm_auto_0075,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/110_adm_34.PNG,fake,real,0.3754969182940859,fake,0.93359375,fake,0.73046875,fake,0.66552734375,real,False,False,False,0,3,False,True,SP=real;FSD=fake/fake/fake,adm_34,110,0.36,0.36-0.38
adm_auto_0076,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/110_adm_7.PNG,fake,real,0.3765770867464754,real,0.29736328125,real,0.34521484375,real,0.346923828125,real,True,True,True,3,0,True,False,SP=real;FSD=real/real/real,adm_7,110,0.36,0.36-0.38
adm_auto_0077,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/110_adm_85.PNG,fake,real,0.4384376961509094,real,0.37841796875,real,0.3642578125,fake,0.703125,fake,False,False,True,1,2,False,False,SP=fake;FSD=real/real/fake,adm_85,110,0.42,0.42-0.44
adm_auto_0078,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/110_adm_91.PNG,fake,real,0.4061917492889415,fake,0.88330078125,fake,0.71630859375,fake,0.927734375,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_91,110,0.4,0.40-0.42
adm_auto_0079,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/111_adm_153.PNG,fake,fake,0.5711569648515884,fake,0.8955078125,fake,0.77587890625,fake,0.95703125,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_153,111,0.56,0.56-0.58
adm_auto_0080,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/111_adm_174.PNG,fake,real,0.4441647858537484,fake,0.75634765625,real,0.478515625,fake,0.73388671875,fake,True,False,True,2,1,False,False,SP=fake;FSD=fake/real/fake,adm_174,111,0.44,0.44-0.46
adm_auto_0081,/net/8k3/e0fs01/users/xj62kv/260402_AI-image-forgery-recognition/data/GenImage/ADM/val/ai/111_adm_34.PNG,fake,real,0.467715010985311,fake,0.978515625,fake,0.87890625,fake,0.982421875,fake,True,True,True,3,0,False,True,SP=fake;FSD=fake/fake/fake,adm_34,111,0.46,0.46-0.48
